id	sire	dam
ind20	NA	NA
ind21	ind17	ind12
ind22	ind3	ind20
ind23	ind4	ind16
ind24	ind1	ind14
ind25	ind5	ind13
ind26	ind6	ind16
ind27	ind8	ind14
ind28	ind7	ind12
ind29	ind5	ind11
ind30	ind1	ind19
ind31	ind5	ind11
ind32	ind10	ind12
ind33	ind3	ind18
ind34	ind1	ind15
ind35	ind9	ind11
ind36	ind2	ind15
ind37	ind10	ind12
ind38	ind7	ind16
ind39	ind5	ind11
ind40	ind3	ind11
ind41	ind22	ind32
ind42	ind29	ind37
ind43	ind21	ind37
ind44	ind28	ind31
ind45	ind26	ind32
ind46	ind27	ind36
ind47	ind21	ind31
ind48	ind27	ind32
ind49	ind29	ind39
ind50	ind26	ind38
ind51	ind25	ind39
ind52	ind27	ind35
ind53	ind26	ind37
ind54	ind30	ind35
ind55	ind25	ind31
ind56	ind21	ind38
ind57	ind30	ind34
ind58	ind29	ind40
ind59	ind28	ind35
ind60	ind26	ind33
ind61	ind50	ind55
ind62	ind48	ind56
ind63	ind45	ind53
ind64	ind42	ind53
ind65	ind47	ind59
ind66	ind43	ind60
ind67	ind49	ind57
ind68	ind41	ind55
ind69	ind50	ind55
ind70	ind43	ind51
ind71	ind48	ind53
ind72	ind43	ind52
ind73	ind44	ind51
ind74	ind44	ind60
ind75	ind43	ind59
ind76	ind46	ind57
ind77	ind46	ind55
ind78	ind45	ind56
ind79	ind45	ind54
ind80	ind47	ind57
ind81	ind68	ind76
ind82	ind64	ind79
ind83	ind68	ind76
ind84	ind62	ind72
ind85	ind61	ind75
ind86	ind65	ind77
ind87	ind67	ind73
ind88	ind70	ind78
ind89	ind69	ind75
ind90	ind63	ind77
ind91	ind62	ind73
ind92	ind62	ind73
ind93	ind63	ind78
ind94	ind66	ind71
ind95	ind69	ind71
ind96	ind66	ind80
ind97	ind69	ind75
ind98	ind69	ind80
ind99	ind69	ind74
ind100	ind64	ind76
