id	y	scale	group	sex
ind1	-0.579681605	0.77	g1	m
ind2	-2.022462819	-1.02	g2	m
ind3	-1.480713247	0.52	g1	f
ind4	-3.030306514	-1.05	g4	m
ind5	2.188187408	2.06	g3	m
ind6	-3.211071856	-1.94	g4	m
ind7	-2.118168192	-0.63	g4	m
ind8	1.223564596	1.25	g4	f
ind9	1.020741545	1.35	g4	m
ind10	-0.399917925	-0.01	g5	m
ind11	-2.617044041	-1.39	g2	f
ind12	-2.966966279	-0.93	g1	m
ind13	-2.167359894	-0.36	g4	m
ind14	-0.868737887	-0.05	g4	m
ind15	-1.982866638	0.35	g3	f
ind16	0.048921391	-1.43	g5	f
ind17	-0.266893821	-0.19	g2	f
ind18	-1.986592647	-0.38	g4	f
ind19	-1.661879437	-0.96	g1	m
ind20	-2.164748521	-0.88	g2	m
ind21	0.480988525	0.44	g5	f
ind22	-1.435593893	-0.79	g5	f
ind23	0.209448945	0.08	g5	f
ind24	0.650181669	0.89	g1	f
ind25	2.293720461	0.59	g5	f
ind26	3.547475702	2.32	g5	f
ind27	0.88700699	0.87	g2	f
ind28	-0.158115945	0.56	g5	f
ind29	-2.042708018	-0.37	g3	f
ind30	-0.387553987	0.98	g4	f
ind31	-0.451902622	0.37	g2	f
ind32	-0.351676178	0.72	g2	f
ind33	-2.094011586	0.21	g1	m
ind34	-0.806525712	0.49	g2	m
ind35	0.284900942	1.14	g3	m
ind36	-0.301680794	0.99	g2	m
ind37	-0.446266177	0.13	g4	m
ind38	-1.634408283	-0.47	g4	m
ind39	0.639695955	0.29	g5	m
ind40	-1.323256763	-0.4	g5	m
ind41	-1.959710836	-0.31	g3	m
ind42	-0.977180902	1.05	g3	f
ind43	-3.045053057	-0.54	g4	m
ind44	0.070505695	0.16	g5	m
ind45	-1.746712032	-0.92	g3	f
ind46	-1.04130041	-0.57	g1	m
ind47	0.604131064	1.07	g2	m
ind48	0.126430052	-0.04	g4	m
ind49	-1.644667777	-1	g5	m
ind50	-1.852324084	-0.35	g1	f
ind51	1.759619845	2.54	g3	f
ind52	1.32468663	-0.84	g5	m
ind53	-2.219116856	-0.72	g3	m
ind54	3.146652032	1.59	g5	f
ind55	0.816375989	0.3	g1	m
ind56	-1.0606104	0.11	g4	m
ind57	-0.864985596	1.45	g1	f
ind58	-2.347592626	0.14	g2	m
ind59	-1.880885407	-0.44	g3	m
ind60	-1.39920144	1.49	g2	m
ind61	0.630824609	1.08	g1	f
ind62	2.156424423	1.17	g2	f
ind63	-2.579913273	-1.19	g5	f
ind64	0.479373027	0.74	g5	f
ind65	-0.885119874	0.21	g5	m
ind66	0.570615162	-0.35	g5	m
ind67	-1.911568022	0.16	g2	f
ind68	1.963225733	1.56	g2	f
ind69	0.648962838	0.61	g2	m
ind70	-1.119111374	-1.28	g2	f
ind71	-1.724279261	0.23	g4	f
ind72	0.624248843	0.62	g1	m
ind73	2.683785136	1.21	g5	m
ind74	-0.089510902	0.63	g1	m
ind75	-0.616725859	0.42	g2	m
ind76	-3.220371362	-1.7	g4	f
ind77	1.110717001	-0.1	g2	m
ind78	-1.860286283	-0.89	g3	m
ind79	-3.047964589	-2.08	g4	f
ind80	-1.605055669	-0.93	g1	f
ind81	-2.106291857	-1.2	g4	m
ind82	-1.868623325	-1.24	g3	m
ind83	0.515433712	0.43	g4	m
ind84	-0.560304369	-0.07	g4	f
ind85	-1.669636412	-1	g1	m
ind86	-2.439903007	-0.66	g3	m
ind87	-2.372362122	0.31	g4	f
ind88	0.541451085	0.66	g2	f
ind89	0.969031828	0.14	g5	f
ind90	-1.564846629	-0.12	g4	f
ind91	-0.876123693	-0.2	g1	m
ind92	0.275370797	1.02	g4	f
ind93	-3.400676741	-1.37	g4	m
ind94	2.276423569	2.07	g1	m
ind95	0.7036893	1.05	g4	m
ind96	-0.710983245	0.28	g1	f
ind97	-0.182499884	-0.54	g4	f
ind98	-0.379480139	-0.06	g2	m
ind99	1.347950196	-0.26	g5	m
ind100	-1.522412735	-0.64	g3	m
